,ts_code,exchange,business_scope
0,300488.SZ,SZSE,量刃具、工模具、机械设备及零部件、电子设备及配件的制造、加工、修磨；钢材及有色金属的批发零售；切削工具技术开发服务，从事进出口业务，自有房屋租赁。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
1,002655.SZ,SZSE,研发、生产、销售声学元器件，半导体类微机电产品，高精度电子产品模具，电子产品自动化生产设备，与手机、汽车、电脑相关的电声组件或其他衍生产品，与以上技术、产品相关的解决方案和服务、进出口业务(不含分销)。音响、电子烟、汽车中控、仪表盘、后视镜等相关消费类电子、声学产品的研发、制造。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
2,603131.SH,SSE,生产加工电气产品、电焊机、机电产品，经营本企业和成员企业自产产品及相关技术的出口业务，经营本企业和成员企业生产、科研所需的原辅材料、仪器仪表、机械设备、零配件及相关技术的进口业务(国家限定公司经营或禁止进口的商品及技术除外)，经营本企业或成员企业进料加工和“三来一补”业务，销售建筑材料、金属材料、仪器仪表、五金交电、办公用品、化工产品及原料(除危险、监控、易制毒化学品、民用爆炸物品)、服装，水电安装，室内装潢服务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】。
3,601611.SH,SSE,投资管理；工程总承包；工程施工总承包；工程勘察设计；工程技术咨询；工程管理计算机软件的开发、应用、转让；新材料、建筑材料、装饰材料、建筑机械、建筑构件的研究、生产、销售；设备租赁；物业管理；自有房屋租赁；进出口业务；承包境外工业与民用建筑工程、境内国际招标工程。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。)
4,300858.SZ,SZSE,生物技术服务、咨询、开发、转让；开发、销售定型包装食品添加剂、复配食品添加剂、机电设备；货物进出口、技术进出口；委托加工预包装食品；预包装食品销售，含冷藏冷冻食品；生产乳酸菌粉。(市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。)
5,603177.SH,SSE,许可项目：危险废物经营；放射性固体废物处理、储存、处置；特种设备设计；特种设备制造；特种设备安装改造修理；建设工程设计；各类工程建设活动；货物进出口。(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准)一般项目：固体废物治理；大气污染治理；土壤环境污染防治服务；生态恢复及生态保护服务；再生资源回收(除生产性废旧金属)；环境保护专用设备制造；环境保护专用设备销售；特种设备销售；普通机械设备安装服务；工程管理服务；大气环境污染防治服务；水污染治理；水环境污染防治服务；燃煤烟气脱硫脱硝装备制造；燃煤烟气脱硫脱硝装备销售；除尘技术装备制造；专用设备制造(不含许可类专业设备制造)；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；资源再生利用技术研发；环保咨询服务；余热余压余气利用技术研发；余热发电关键技术研发；土壤污染治理与修复服务；土壤及场地修复装备制造；土壤及场地修复装备销售；机械电气设备制造；电气机械设备销售；电气设备销售；电气设备修理。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)
6,603719.SH,SSE,以连锁店、商业特许、网络等方式从事：散装食品(含冷藏冷冻食品，含散装熟食)、预包装食品(含冷藏冷冻食品)、特殊食品(保健品、婴幼儿配方乳粉、其他婴幼儿配方食品)、蔬菜、干鲜果品、花卉、日用百货、农产品、农副产品(不含稻谷、小麦、玉米的收购、批发)的批发零售；热食类食品(含半成品类食品)；糕点类食品(含裱花类食品)；自制饮品(含自制生鲜乳饮品)、冷食类食品、生食类食品(含肉制品、生海鲜食品)的制售；食品分装加工；仓储服务、场地出租。(涉及许可经营项目，应取得相关部门许可后方可经营)
7,300561.SZ,SZSE,电子计算机软硬件、电子产品、安全防范技术产品、通信设备的设计、研发、生产、批发、零售及其他商业批发零售(不含许可经营项目)；卡封锁、卡封片、卡封箱、卡封包及其识别系统的设计、研发、生产、批发、零售；智能物联尾箱实物流转系统、智慧网点重控管理系统、智能库(柜)相关系统软硬件的设计、研发、销售；智能识别技术及设备、机器学习技术及设备的设计、研发、销售；集成电路设计、研发；智能移动终端的设计、研发、生产、批发、零售；加密算法、加密体系及相关软硬件产品的设计、研发；电子工程及智能系统工程的设计、施工；信息、通信、网络领域的技术咨询、技术服务、技术转让、技术开发；信息系统设计、集成、运行维护；电子设备安装，电子工程、智能系统工程及安全技术防护工程的设计、施工及维护。公司在登记主管部门核准登记的范围内从事经营活动。公司需要变更经营范围，须依法取得批准并办理登记。
8,601500.SH,SSE,轮胎的技术开发、技术咨询；橡胶制品、车辆内外胎及气门咀的制造、销售；帘子布、子扣布的制造、加工及销售；自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
9,002602.SZ,SZSE,汽车配件、摩托车配件、精密金属模具制造、加工、销售；金属冲压件、注塑件设计、生产、销售；塑料粒子、金属制品的批发；计算机软硬件的技术开发、技术咨询、技术服务及销售；纺织品、服装、橡胶制品、塑料制品、金属制品、通信设备、计算机及电子设备、机电设备的批发、佣金代理(拍卖除外)及其进出口业务。上述涉及许可管理的凭证经营。
