,index_code,index_name,con_code,con_name
0,852211.SI,通信运营Ⅲ(申万),002467.SZ,二六三
1,801280.SI,申万服务,300074.SZ,华平股份
2,801280.SI,申万服务,300075.SZ,数字政通
3,801280.SI,申万服务,300079.SZ,数码视讯
4,801280.SI,申万服务,300096.SZ,易联众
5,801280.SI,申万服务,300113.SZ,顺网科技
6,801280.SI,申万服务,300125.SZ,聆达股份
7,801280.SI,申万服务,300133.SZ,华策影视
8,801280.SI,申万服务,300148.SZ,天舟文化
9,801280.SI,申万服务,300150.SZ,世纪瑞尔
10,801280.SI,申万服务,300166.SZ,东方国信
11,801280.SI,申万服务,300167.SZ,迪威迅
12,801280.SI,申万服务,300168.SZ,万达信息
13,801280.SI,申万服务,300170.SZ,汉得信息
14,801280.SI,申万服务,300172.SZ,中电环保
15,801280.SI,申万服务,300182.SZ,捷成股份
16,801280.SI,申万服务,300187.SZ,永清环保
17,801280.SI,申万服务,300188.SZ,美亚柏科
18,801280.SI,申万服务,300190.SZ,维尔利
19,801280.SI,申万服务,300209.SZ,天泽信息
20,801280.SI,申万服务,300212.SZ,易华录
21,801280.SI,申万服务,300226.SZ,上海钢联
22,801280.SI,申万服务,300229.SZ,拓尔思
23,801280.SI,申万服务,300231.SZ,银信科技
24,801280.SI,申万服务,300240.SZ,飞力达
25,801280.SI,申万服务,300245.SZ,天玑科技
26,801280.SI,申万服务,300248.SZ,新开普
27,801280.SI,申万服务,600004.SH,白云机场
28,801280.SI,申万服务,600007.SH,中国国贸
29,801280.SI,申万服务,600009.SH,上海机场
30,801280.SI,申万服务,600016.SH,民生银行
31,801280.SI,申万服务,600018.SH,上港集团
32,801280.SI,申万服务,600020.SH,中原高速
33,801280.SI,申万服务,600021.SH,上海电力
34,801280.SI,申万服务,600026.SH,中远海能
35,801280.SI,申万服务,600027.SH,华电国际
36,801280.SI,申万服务,600030.SH,中信证券
37,801280.SI,申万服务,600033.SH,福建高速
38,801280.SI,申万服务,600037.SH,歌华有线
39,801280.SI,申万服务,600052.SH,浙江广厦
40,801280.SI,申万服务,600067.SH,冠城大通
41,801250.SI,申万制造,002199.SZ,东晶电子
42,801250.SI,申万制造,002202.SZ,金风科技
43,801250.SI,申万制造,002209.SZ,达意隆
44,801250.SI,申万制造,002213.SZ,大为股份
45,801250.SI,申万制造,002214.SZ,大立科技
46,801250.SI,申万制造,002218.SZ,拓日新能
47,801250.SI,申万制造,002227.SZ,奥特迅
48,801250.SI,申万制造,002236.SZ,大华股份
49,801250.SI,申万制造,002241.SZ,歌尔股份
50,801250.SI,申万制造,002249.SZ,大洋电机
51,801250.SI,申万制造,002255.SZ,海陆重工
52,801250.SI,申万制造,002265.SZ,西仪股份
53,801250.SI,申万制造,002270.SZ,华明装备
54,801250.SI,申万制造,002272.SZ,川润股份
55,801250.SI,申万制造,002273.SZ,水晶光电
56,801250.SI,申万制造,002276.SZ,万马股份
57,801250.SI,申万制造,002278.SZ,神开股份
58,801250.SI,申万制造,002282.SZ,博深股份
59,801250.SI,申万制造,002283.SZ,天润工业
60,801250.SI,申万制造,002284.SZ,亚太股份
61,801250.SI,申万制造,300123.SZ,亚光科技
62,801250.SI,申万制造,300124.SZ,汇川技术
63,801250.SI,申万制造,300126.SZ,锐奇股份
64,801250.SI,申万制造,300128.SZ,锦富技术
65,801250.SI,申万制造,300129.SZ,泰胜风能
66,801250.SI,申万制造,300130.SZ,新国都
67,801250.SI,申万制造,300131.SZ,英唐智控
68,801250.SI,申万制造,300134.SZ,大富科技
69,801250.SI,申万制造,300136.SZ,信维通信
70,801250.SI,申万制造,300139.SZ,晓程科技
71,801083.SI,元件Ⅱ(申万),002463.SZ,沪电股份
72,801120.SI,食品饮料(申万),002461.SZ,珠江啤酒
73,801123.SI,饮料制造(申万),002461.SZ,珠江啤酒
74,801150.SI,医药生物(申万),002462.SZ,嘉事堂
75,801154.SI,医药商业Ⅱ(申万),002462.SZ,嘉事堂
76,801192.SI,银行Ⅱ(申万),601818.SH,光大银行
77,801260.SI,申万消费,000998.SZ,隆平高科
78,801260.SI,申万消费,000999.SZ,华润三九
79,851232.SI,啤酒(申万),002461.SZ,珠江啤酒
